Country,Population,Mean_pollution
Austria,8859000,11.3
Belgium,11456000,11.0
Bulgaria,7000000,18.0
Croatia,4076000,14.7
Cyprus,1213000,14.7
Czechia,10650000,13.8
Denmark,5806000,9.4
Estonia,1325000,5.5
Finland,5518000,5.0
France,65041000,9.5
Germany,83019000,10.1
Greece,10725000,15.8
Hungary,9773000,14.5
Ireland,4904000,7.7
Italy,59817000,14.5
Latvia,1920000,10.1
Lithuania,2794000,12.1
Luxembourg,614000,8.1
Malta,494000,12.2
Netherlands,17282000,10.7
Poland,37973000,17.6
Portugal,9776000,8.3
Romania,19414000,15.1
Slovakia,5450000,14.5
Slovenia,2081000,13.2
Spain,44789000,10.2
Sweden,10230000,5.4
